Suburb/Town Name,LGA,Lat,Lng
Dederang,Alpine,-36.4738806,147.0175042
Glen Creek,Alpine,-36.4412799,146.9358703
Gundowring,Alpine,-36.3479927,147.0752513
Kergunyah South,Alpine,-36.4268421,147.0361627
Mongans Bridge,Alpine,-36.5896586,147.1003269
Running Creek,Alpine,-36.5313566,147.0479616
Tawonga,Alpine,-36.6941469,147.1485394
Tawonga South,Alpine,-36.7304657,147.152596
Mount Beauty,Alpine,-36.7358203,147.1768206
Abbeyard,Alpine,-37.0213248,146.7640653
Barwidgee,Alpine,-36.5098367,146.7770185
Buffalo River,Alpine,-36.662354,146.684357
Dandongadale,Alpine,-36.911853,146.6999205
Gapsted,Alpine,-36.5140692,146.6562952
Merriang,Alpine,-36.571194,146.690672
Mudgegonga,Alpine,-36.4684985,146.8683621
Myrtleford,Alpine,-36.5555446,146.7237861
Nug Nug,Alpine,-36.6663602,146.6958662
Rosewhite,Alpine,-36.5870913,146.8430584
Selwyn,Alpine,-37.0671106,146.9998845
Ovens,Alpine,-36.5959426,146.7953458
Eurobin,Alpine,-36.6414809,146.8474204
Buckland,Alpine,-36.7500523,146.8796103
Mount Buffalo,Alpine,-36.7833333,146.7833333
Porepunkah,Alpine,-36.694433,146.9264143
Bright,Alpine,-36.7321521,146.9836221
Freeburgh,Alpine,-36.7731846,147.0302412
Harrietville,Alpine,-36.8886692,147.0650375
Smoko,Alpine,-36.8184901,147.0610439
Wandiligong,Alpine,-36.761389,146.984167
Dinner Plain,Alpine,-37.0238277,147.2413889
Pura Pura,Ararat,-37.8157187,143.0778056
Lake Bolac,Ararat,-37.7112844,142.839973
Mininera,Ararat,-37.5954916,142.9324641
Nerrin Nerrin,Ararat,-37.7587774,143.0146656
Streatham,Ararat,-37.6869179,143.1021239
Westmere,Ararat,-37.6734248,142.9566117
Buangor,Ararat,-37.3759756,143.1581525
Middle Creek,Ararat,-37.3971343,143.2352199
Ararat,Ararat,-37.2846464,142.9316441
Armstrong,Ararat,-37.2112639,142.8734706
Cathcart,Ararat,-37.2951571,142.8873059
Dobie,Ararat,-37.3305233,143.0079518
Dunneworthy,Ararat,-37.2,143.066667
Maroona,Ararat,-37.4576097,142.8557149
Mount Cole,Ararat,-37.2549172,143.1817858
Mount Cole Creek,Ararat,-37.2049491,143.1038499
Moyston,Ararat,-37.3171971,142.7587443
Norval,Ararat,-37.2531884,142.8717953
Rhymney,Ararat,-37.2022518,142.776705
Rossbridge,Ararat,-37.4852387,142.8476761
Warrak,Ararat,-37.2664718,143.147726
Tatyoon,Ararat,-37.5375885,142.9120121
Mafeking,Ararat,-37.4054803,142.6429883
Wickliffe,Ararat,-37.6762507,142.7075582
Willaura,Ararat,-37.5422738,142.7368981
Black Range,Ararat,-37.1415364,142.8016378
Pomonal,Ararat,-37.192222,142.608889
Elmhurst,Ararat,-37.183333,143.25
Alfredton,Ballarat,-37.555,143.8
Bakery Hill,Ballarat,-37.563,143.866
Ballarat Central,Ballarat,-37.5621587,143.8502556
Ballarat East,Ballarat,-37.5632,143.869
Ballarat North,Ballarat,-37.5397,143.8676
Black Hill,Ballarat,-37.5502577,143.875336
Brown Hill,Ballarat,-37.5495,143.9125
Canadian,Ballarat,-37.576,143.877
Eureka,Ballarat,-37.5648,143.8822
Golden Point,Ballarat,-37.574,143.868
Invermay Park,Ballarat,-37.5305636,143.8590384
Lake Wendouree,Ballarat,-37.549,143.847
Lucas,Ballarat,-37.553,143.771
Mount Clear,Ballarat,-37.602,143.868
Mount Helen,Ballarat,-37.6297878,143.8834861
Mount Pleasant,Ballarat,-37.581,143.853
Nerrina,Ballarat,-37.533,143.903
Newington,Ballarat,-37.5655288,143.8264533
Redan,Ballarat,-37.577,143.844
Soldiers Hill,Ballarat,-37.55,143.858
Bo Peep,Ballarat,-37.5310454,143.6742331
Smythes Creek,Ballarat,-37.5941229,143.7694626
Blowhard,Ballarat,-37.434517,143.7911684
Bonshaw,Ballarat,-37.6034859,143.8155947
Bunkers Hill,Ballarat,-37.5705876,143.7423389
Burrumbeet,Ballarat,-37.5093344,143.6783343
Cardigan,Ballarat,-37.538708,143.7457289
Cardigan Village,Ballarat,-37.517945,143.7084479
Durham Lead,Ballarat,-37.6882095,143.8780526
Glen Park,Ballarat,-37.5033061,143.9355608
Invermay,Ballarat,-37.502394,143.8780526
Learmonth,Ballarat,-37.4221835,143.7120932
Magpie,Ballarat,-37.6275666,143.8508908
Miners Rest,Ballarat,-37.4717252,143.7911684
Mount Bolton,Ballarat,-37.3721917,143.6955732
Mount Rowan,Ballarat,-37.5029337,143.8400287
Scotchmans Lead,Ballarat,-37.666667,143.85
Scotsburn,Ballarat,-37.685556,143.938889
Sebastopol,Ballarat,-37.585278,143.839444
Sulky,Ballarat,13.6433394,-1.2733751
Warrenheip,Ballarat,-37.575,143.923
Weatherboard,Ballarat,-37.442239,143.6718599
Windermere,Ballarat,-37.5137333,143.720308
Lake Gardens,Ballarat,-37.546,143.82
Mitchell Park,Ballarat,-37.5089391,143.7747951
Wendouree,Ballarat,-37.532,143.823
Delacombe,Ballarat,-37.589,143.814
Buninyong,Ballarat,-37.650278,143.883889
Creswick,Hepburn,-37.4241222,143.8912368
Glendaruel,Ballarat,-37.343607,143.7314922
Tourello,Ballarat,-37.3534387,143.7765841
Ascot,Ballarat,-36.711109,144.332462
Bald Hills,Ballarat,-37.4432837,143.8291682
Glendonald,Ballarat,-37.3509401,143.8420366
Ivanhoe,Banyule,-37.7703,145.0457
Ivanhoe East,Banyule,-37.772,145.066
Bellfield,Banyule,-37.754,145.045
Heidelberg Heights,Banyule,-37.742,145.053
Heidelberg West,Banyule,-37.744,145.047
Bundoora,Banyule,-37.6947332,145.0602588
Eaglemont,Banyule,-37.7644773,145.0628446
Heidelberg,Banyule,-37.752695,145.0703364
Rosanna,Banyule,-37.7409649,145.0683729
Viewbank,Banyule,-37.731,145.1
Macleod,Banyule,-37.714,145.066
Yallambie,Banyule,-37.726,145.104
Watsonia,Banyule,-37.708,145.083
Watsonia North,Banyule,-37.7,145.081
Briar Hill,Banyule,-37.708,145.115
